date_,PCEC96
1988-01-01,5332.66
1988-04-01,5371.79
1988-07-01,5417.67
1988-10-01,5479.7
1989-01-01,5504.97
1989-04-01,5530.92
1989-07-01,5585.85
1989-10-01,5610.53
1990-01-01,5658.69
1990-04-01,5676.42
1990-07-01,5699.3
1990-10-01,5656.17
1991-01-01,5636.71
1991-04-01,5684.02
1991-07-01,5711.64
1991-10-01,5710.05
1992-01-01,5817.32
1992-04-01,5857.17
1992-07-01,5920.6
1992-10-01,5991.06
1993-01-01,6013.83
1993-04-01,6067.8
1993-07-01,6134.76
1993-10-01,6189.1
1994-01-01,6260.05
1994-04-01,6308.62
1994-07-01,6357.47
1994-10-01,6425.93
1995-01-01,6442.94
1995-04-01,6500.69
1995-07-01,6560.33
1995-10-01,6606.36
1996-01-01,6667.7
1996-04-01,6740.08
1996-07-01,6780.7
1996-10-01,6833.96
1997-01-01,6906.06
1997-04-01,6937.42
1997-07-01,7056.14
1997-10-01,7139.91
1998-01-01,7213.55
1998-04-01,7340.99
1998-07-01,7437.54
1998-10-01,7546.84
1999-01-01,7582.0
1999-02-01,7620.0
1999-03-01,7654.1
1999-04-01,7697.8
1999-05-01,7731.6
1999-06-01,7765.2
1999-07-01,7778.8
1999-08-01,7820.9
1999-09-01,7858.2
1999-10-01,7874.8
1999-11-01,7911.9
1999-12-01,8015.7
2000-01-01,7988.5
2000-02-01,8065.3
2000-03-01,8110.8
2000-04-01,8101.6
2000-05-01,8139.0
2000-06-01,8156.0
2000-07-01,8160.6
2000-08-01,8203.8
2000-09-01,8269.4
2000-10-01,8265.8
2000-11-01,8272.5
2000-12-01,8314.9
2001-01-01,8314.4
2001-02-01,8326.3
2001-03-01,8317.4
2001-04-01,8318.7
2001-05-01,8351.4
2001-06-01,8352.1
2001-07-01,8368.8
2001-08-01,8412.7
2001-09-01,8332.2
2001-10-01,8531.9
2001-11-01,8489.9
2001-12-01,8475.6
2002-01-01,8502.4
2002-02-01,8537.6
2002-03-01,8533.8
2002-04-01,8577.6
2002-05-01,8543.0
2002-06-01,8583.8
2002-07-01,8633.6
2002-08-01,8645.8
2002-09-01,8604.7
2002-10-01,8638.6
2002-11-01,8665.3
2002-12-01,8719.2
2003-01-01,8727.3
2003-02-01,8684.9
2003-03-01,8725.5
2003-04-01,8779.6
2003-05-01,8798.5
2003-06-01,8850.4
2003-07-01,8896.1
2003-08-01,8976.4
2003-09-01,8945.7
2003-10-01,8967.4
2003-11-01,9026.0
2003-12-01,9033.0
2004-01-01,9071.5
2004-02-01,9089.3
2004-03-01,9128.5
2004-04-01,9135.9
2004-05-01,9184.6
2004-06-01,9145.9
2004-07-01,9207.3
2004-08-01,9226.2
2004-09-01,9295.6
2004-10-01,9309.5
2004-11-01,9323.0
2004-12-01,9381.0
2005-01-01,9379.8
2005-02-01,9412.3
2005-03-01,9435.5
2005-04-01,9510.4
2005-05-01,9463.2
2005-06-01,9560.7
2005-07-01,9620.8
2005-08-01,9586.1
2005-09-01,9548.8
2005-10-01,9573.4
2005-11-01,9625.4
2005-12-01,9665.3
2006-01-01,9701.1
2006-02-01,9733.6
2006-03-01,9753.0
2006-04-01,9771.1
2006-05-01,9781.9
2006-06-01,9790.2
2006-07-01,9836.0
2006-08-01,9813.7
2006-09-01,9864.5
2006-10-01,9911.3
2006-11-01,9927.5
2006-12-01,9976.5
2007-01-01,9983.8
2007-02-01,9990.3
2007-03-01,9997.9
2007-04-01,10018.8
2007-05-01,10030.3
2007-06-01,10024.7
2007-07-01,10047.1
2007-08-01,10080.7
2007-09-01,10079.7
2007-10-01,10067.3
2007-11-01,10093.0
2007-12-01,10085.1
2008-01-01,10074.7
2008-02-01,10045.3
2008-03-01,10063.0
2008-04-01,10079.5
2008-05-01,10084.1
2008-06-01,10070.2
2008-07-01,10028.8
2008-08-01,10026.4
2008-09-01,9960.0
2008-10-01,9915.6
2008-11-01,9896.5
2008-12-01,9842.1
2009-01-01,9884.2
2009-02-01,9846.2
2009-03-01,9822.1
2009-04-01,9806.6
2009-05-01,9811.4
2009-06-01,9801.1
2009-07-01,9833.3
2009-08-01,9933.4
2009-09-01,9830.9
2009-10-01,9849.5
2009-11-01,9848.1
2009-12-01,9896.8
2010-01-01,9881.7
2010-02-01,9911.3
2010-03-01,9960.1
2010-04-01,9972.7
2010-05-01,10001.3
2010-06-01,10021.2
2010-07-01,10027.4
2010-08-01,10074.8
2010-09-01,10087.1
2010-10-01,10136.8
2010-11-01,10175.2
2010-12-01,10186.4
2011-01-01,10201.2
2011-02-01,10210.0
2011-03-01,10240.2
2011-04-01,10235.2
2011-05-01,10229.5
2011-06-01,10248.3
2011-07-01,10277.2
2011-08-01,10271.6
2011-09-01,10297.9
2011-10-01,10326.8
2011-11-01,10313.3
2011-12-01,10310.2
2012-01-01,10354.4
2012-02-01,10398.0
2012-03-01,10384.7
2012-04-01,10399.5
2012-05-01,10400.2
2012-06-01,10390.3
2012-07-01,10422.2
2012-08-01,10405.9
2012-09-01,10444.3
2012-10-01,10426.9
2012-11-01,10454.3
2012-12-01,10478.5
2013-01-01,10495.5
2013-02-01,10509.1
2013-03-01,10502.3
2013-04-01,10504.4
2013-05-01,10523.6
2013-06-01,10543.8
2013-07-01,10554.0
2013-08-01,10564.1
2013-09-01,10601.3
2013-10-01,10624.7
2013-11-01,10679.6
2013-12-01,10682.3
2014-01-01,10666.1
2014-02-01,10706.4
2014-03-01,10767.6
2014-04-01,10778.6
2014-05-01,10799.3
2014-06-01,10837.4
2014-07-01,10856.5
2014-08-01,10937.6
2014-09-01,10935.5
2014-10-01,11004.4
2014-11-01,11055.4
2014-12-01,11075.8
2015-01-01,11114.7
2015-02-01,11133.2
2015-03-01,11188.0
2015-04-01,11200.7
2015-05-01,11243.0
2015-06-01,11240.2
2015-07-01,11272.9
2015-08-01,11303.2
2015-09-01,11337.6
2015-10-01,11347.3
2015-11-01,11376.6
2015-12-01,11413.9
2016-01-01,11399.8
2016-02-01,11447.5
2016-03-01,11444.3
2016-04-01,11505.1
2016-05-01,11532.9
2016-06-01,11575.3
2016-07-01,11594.1
2016-08-01,11604.0
2016-09-01,11656.3
2016-10-01,11668.3
2016-11-01,11698.0
2016-12-01,11740.1
2017-01-01,11728.4
2017-02-01,11729.6
2017-03-01,11816.1
2017-04-01,11827.4
2017-05-01,11859.8
2017-06-01,11871.6
2017-07-01,11895.8
2017-08-01,11891.8
2017-09-01,11962.1
2017-10-01,11982.7
2017-11-01,12042.4
2017-12-01,12080.5
2018-01-01,12053.6
2018-02-01,12041.8
2018-03-01,12102.3
2018-04-01,12145.1
